rtr_id,rtr_name,rtr_addr,rtr_price,rtr_type,rtr_longitude,rtr_latitude,geometry,district
13274,大快乐餐厅,香港仔瀑布湾道2号华富商场,$50以下,港式,114.142352,22.248327,POINT (114.142352 22.248327),南区
133122,顺日本料理,天后永兴街23号地下,$101-200,日本菜,114.19788500000001,22.282539,POINT (114.197885 22.282539),东区
133276,壹碗面,鰂魚涌滨海街48号地下,$51-100,粤菜 (广东),114.21643200000001,22.283462,POINT (114.216432 22.283462),东区
13330,乐茶轩,金鐘香港公园罗桂祥茶艺馆地下,$101-200,粤菜 (广东),114.165558,22.27335,POINT (114.165558 22.27335),中西区
133325,印度皇,上環干诺道中137-139号三台商业大厦1楼,$51-100,印度菜、尼泊尔菜,114.15669799999999,22.284399,POINT (114.156698 22.284399),中西区
133367,韩食妈妈韩国料理,筲箕灣筲箕湾东大街4-10号东宝大厦地下2A&2C号舖,$51-100,韩国菜,114.234978,22.275458,POINT (114.234978 22.275458),东区
133437,Quinary,中環荷李活道56-58号地下,$101-200,西式,114.15787399999999,22.279948,POINT (114.157874 22.279948),中西区
13356,坤记煲仔小菜,西環西营盘皇后大道西263号和益大厦地下1号舖,$51-100,粤菜 (广东),114.148151,22.284292999999998,POINT (114.148151 22.284293),中西区
133712,麦当劳,薄扶林数码港数码港道100号 The Annex 地下1-2号舖,$50以下,美国菜,114.13526499999999,22.259943,POINT (114.135265 22.259943),南区
133971,旬寿司,西環坚尼地城士美菲路科士街36号C及D舖,$51-100,日本菜,114.13323000000001,22.27889,POINT (114.13323 22.27889),中西区
134069,八方云集锅贴水饺专门店 (逢源大厦),筲箕灣筲箕湾道388号逢源大厦地下H号舖,$50以下,台湾菜,114.231751,22.27467,POINT (114.231751 22.27467),东区
13443,Volar,中環兰桂坊德己立街38-44号好利商业大厦地库,$51-100,西式,114.16031100000001,22.278129999999997,POINT (114.160311 22.27813),中西区
1345,翰腾阁,太古太古城道18号太古城中心一期5楼506号舖,$101-200,粤菜 (广东),114.22291899999999,22.283796,POINT (114.222919 22.283796),东区
13461,曼谷泰菜,天后留仙街1-5号地下D舖,$101-200,泰国菜,114.197125,22.280568,POINT (114.197125 22.280568),东区
13492,康记粥店,大坑京街11号地下,$50以下,港式,114.20062800000001,22.271648000000003,POINT (114.200628 22.271648),湾仔区
134944,元気寿司,西環坚尼地城士美非路41A-43号美菲阁地下6号舖,$101-200,日本菜,0.0,0.0,POINT (0 0),None
134958,Maison Eric Kayser,跑馬地云地利道60号,$51-100,法国菜,114.19004699999999,22.269152,POINT (114.190047 22.269152),湾仔区
13511,锺意饼店,柴灣小西湾道9号富欣花园地下52号舖,$50以下,港式,114.252998,22.261793,POINT (114.252998 22.261793),东区
13512,锺意饼店,天后英皇道2号A鸿安大厦C1舖,$50以下,港式,114.197255,22.279654,POINT (114.197255 22.279654),东区
13549,太和堂,柴灣怡丰街21号地下,$50以下,港式,114.24493899999999,22.261717,POINT (114.244939 22.261717),东区
13554,亮记海鲜饭店,西灣河太安街12号西湾河市政大楼地下熟食中心C7-C8号舖,$51-100,港式,114.226607,22.280076,POINT (114.226607 22.280076),东区
13560,卓越食品饼店,西環西营盘皇后大道西183号地舖,$50以下,粤菜 (广东),114.150028,22.284407,POINT (114.150028 22.284407),中西区
13581,BBQ美食店,西環西营盘第三街129-133号地下B号舖,$101-200,港式,114.144729,22.283989000000002,POINT (114.144729 22.283989),中西区
135875,祥发茶餐小厨,北角七姊妹道27D号地舖,$50以下,港式,114.206369,22.288059,POINT (114.206369 22.288059),东区
135931,脆意鸡,筲箕灣筲箕湾道273号地舖,$51-100,意大利菜,114.23104099999999,22.276328,POINT (114.231041 22.276328),东区
135980,香港JW万豪酒店宴会厅,金鐘金钟道88号太古广场香港JW万豪酒店,$401-800,多国菜,114.173157,22.274632,POINT (114.173157 22.274632),中西区
13603,太平洋咖啡,赤柱赤柱村道80号地下及1楼,$50以下,美国菜,114.217767,22.215737,POINT (114.217767 22.215737),南区
136232,Great Salad Bar and Sandwich,金鐘金钟道88号太古广场二期LG1楼Great Food Hall,$51-100,意大利菜,114.173157,22.274632,POINT (114.173157 22.274632),中西区
13632,明记甜品,西灣河西湾河街138号,$50以下,港式,114.225953,22.279615,POINT (114.225953 22.279615),东区
13634,二记饭店,西灣河筲箕湾道57-87号太安楼A12号舖,$50以下,港式,114.22711000000001,22.279593,POINT (114.22711 22.279593),东区
136400,客常临,西環西营盘皇后大道西230号地下,$51-100,港式,114.14854299999999,22.284101,POINT (114.148543 22.284101),中西区
136540,The French Window,中環港景街1号国际金融中心商场3楼3101号舖,$401-800,西式,114.163559,22.282322,POINT (114.163559 22.282322),中西区
13683,杭州酒家,灣仔庄士敦道178号-188号华懋庄士敦广场1楼,$201-400,江浙菜,114.178917,22.271983,POINT (114.178917 22.271983),湾仔区
13686,濠园茶餐厅,柴灣小西湾富景花园富景商场地下49至50号,$50以下,港式,114.25681599999999,22.260219,POINT (114.256816 22.260219),东区
136939,嚐乐煮意,鰂魚涌英皇道925号地下,$50以下,港式,114.21450700000001,22.287001,POINT (114.214507 22.287001),东区
13704,新钊记,筲箕灣金华街12-18号金威楼地下,$50以下,港式,114.234978,22.275458,POINT (114.234978 22.275458),东区
137163,肇顺名汇河鲜专门店,香港仔南宁街ac5 1楼F舖,$101-200,粤菜 (广东),114.163825,22.276284,POINT (114.163825 22.276284),中西区
137317,加记,鴨脷洲海怡路13号海怡半岛东商场104-106号舖,$51-100,港式,114.15338,22.240682,POINT (114.15338 22.240682),南区
137569,翠苑餐厅,西環西营盘正街23-25号,$51-100,港式,114.144729,22.283989000000002,POINT (114.144729 22.283989),中西区
137618,Trattoria Queen Hollywood,上環荷李活道258号地下,$401-800,日本菜、意大利菜,114.15184199999999,22.283514,POINT (114.151842 22.283514),中西区
137625,星巴克咖啡,柴灣柴湾道233号新翠商场1楼112B号舖,$50以下,美国菜,114.24135,22.261060999999998,POINT (114.24135 22.261061),东区
137716,都爹利会馆,中環都爹利街1号上海滩3至4楼,$401-800,粤菜 (广东),114.16224799999999,22.277522,POINT (114.162248 22.277522),中西区
13780,高丽韩国餐厅,北角和富道20-36号明晖大厦1楼,$101-200,韩国菜,114.200673,22.288909,POINT (114.200673 22.288909),东区
137919,天府人家,灣仔卢押道18号海德中心3楼(谢斐道入口),$101-200,川菜 (四川),114.17688000000001,22.275714,POINT (114.17688 22.275714),湾仔区
138010,金泰馆,西環石塘咀皇后大道西470号石塘咀市政大厦2楼熟食中心CF9舖,$50以下,泰国菜,114.14061000000001,22.283333,POINT (114.14061 22.283333),中西区
138031,一口齐,西環西营盘皇后大道西 414 号地下3号舖,$50以下,港式,114.14394399999999,22.283823,POINT (114.143944 22.283823),中西区
13824,金龙珠饼店,柴灣柴湾道345号地下24唬舖,$50以下,港式,114.245104,22.261425,POINT (114.245104 22.261425),东区
13833,泉记金喜来海鲜饭店,柴灣怡丰街33号渔湾街市1楼熟食中心10号舖,$101-200,港式,114.035149,22.440929,POINT (114.035149 22.440929),元朗区
13913,明园,淺水灣大潭水塘道88号阳明山庄会所,$201-400,粤菜 (广东),114.203865,22.255095,POINT (114.203865 22.255095),湾仔区
13927,富东海鲜饭店,天后电气道92-94号地下B-C舖,$51-100,港式,114.196805,22.281832,POINT (114.196805 22.281832),东区
139312,百奇面包西饼,西環西营盘第三街101号怡丰阁地下,$50以下,港式,114.14623,22.283284,POINT (114.14623 22.283284),中西区
139319,道北工房,筲箕灣东大街33号地下,$201-400,日本菜,114.23484499999999,22.275994,POINT (114.234845 22.275994),东区
